started_at,finished_at,seconds,memory
2013-12-26 21:57:33 -0600,2013-12-26 21:57:59 -0600,26.254873,300756
2013-12-26 21:57:59 -0600,2013-12-26 21:58:25 -0600,25.905128,301756
2013-12-26 21:58:25 -0600,2013-12-26 21:58:51 -0600,25.765438,301780
2013-12-26 21:58:51 -0600,2013-12-26 21:59:17 -0600,25.815151,302804
2013-12-26 21:59:17 -0600,2013-12-26 21:59:43 -0600,26.480724,302804
2013-12-26 21:59:43 -0600,2013-12-26 22:00:09 -0600,26.119594,302804
2013-12-26 22:00:09 -0600,2013-12-26 22:00:36 -0600,26.065963,302804
2013-12-26 22:00:36 -0600,2013-12-26 22:01:02 -0600,26.690425,303828
2013-12-26 22:01:02 -0600,2013-12-26 22:01:29 -0600,26.304451,303828
2013-12-26 22:01:29 -0600,2013-12-26 22:01:55 -0600,26.148875,303828
2013-12-26 22:01:55 -0600,2013-12-26 22:02:20 -0600,25.638265,303828
2013-12-26 22:02:20 -0600,2013-12-26 22:02:47 -0600,26.453615,295636
2013-12-26 22:02:47 -0600,2013-12-26 22:03:14 -0600,26.833181,295636
2013-12-26 22:03:14 -0600,2013-12-26 22:03:39 -0600,25.799275,299120
2013-12-26 22:03:39 -0600,2013-12-26 22:04:05 -0600,26.009895,300612
2013-12-26 22:04:05 -0600,2013-12-26 22:04:31 -0600,25.912664,293660
2013-12-26 22:04:31 -0600,2013-12-26 22:04:58 -0600,26.342354,294172
2013-12-26 22:04:58 -0600,2013-12-26 22:05:24 -0600,26.178699,295588
2013-12-26 22:05:24 -0600,2013-12-26 22:05:50 -0600,25.73611,298572
2013-12-26 22:05:50 -0600,2013-12-26 22:06:16 -0600,25.963621,299056
2013-12-26 22:06:16 -0600,2013-12-26 22:06:41 -0600,25.859438,300188
2013-12-26 22:06:41 -0600,2013-12-26 22:07:07 -0600,25.572454,299448
2013-12-26 22:07:07 -0600,2013-12-26 22:07:33 -0600,26.2577,300344
2013-12-26 22:07:33 -0600,2013-12-26 22:08:00 -0600,26.453269,305012
2013-12-26 22:08:00 -0600,2013-12-26 22:08:26 -0600,26.151249,306084
2013-12-26 22:08:26 -0600,2013-12-26 22:08:52 -0600,26.251411,306304
2013-12-26 22:08:52 -0600,2013-12-26 22:09:18 -0600,25.760923,308632
2013-12-26 22:09:18 -0600,2013-12-26 22:09:43 -0600,25.466928,309576
2013-12-26 22:09:43 -0600,2013-12-26 22:10:10 -0600,26.361644,310736
2013-12-26 22:10:10 -0600,2013-12-26 22:10:36 -0600,26.24568,301520
2013-12-26 22:10:36 -0600,2013-12-26 22:11:02 -0600,26.05394,302672
2013-12-26 22:11:02 -0600,2013-12-26 22:11:28 -0600,26.011118,303824
2013-12-26 22:11:28 -0600,2013-12-26 22:11:54 -0600,25.844523,304832
2013-12-26 22:11:54 -0600,2013-12-26 22:12:19 -0600,25.454257,304832
2013-12-26 22:12:19 -0600,2013-12-26 22:12:46 -0600,26.290622,306176
2013-12-26 22:12:46 -0600,2013-12-26 22:13:11 -0600,25.425684,307008
2013-12-26 22:13:11 -0600,2013-12-26 22:13:37 -0600,25.416697,307116
2013-12-26 22:13:37 -0600,2013-12-26 22:14:02 -0600,25.375795,308624
2013-12-26 22:14:02 -0600,2013-12-26 22:14:28 -0600,26.173467,311584
2013-12-26 22:14:28 -0600,2013-12-26 22:14:53 -0600,24.786984,312416
2013-12-26 22:14:53 -0600,2013-12-26 22:15:19 -0600,26.130024,312512
2013-12-26 22:15:19 -0600,2013-12-26 22:15:44 -0600,25.309178,312556
2013-12-26 22:15:44 -0600,2013-12-26 22:16:11 -0600,26.218653,312328
2013-12-26 22:16:11 -0600,2013-12-26 22:16:36 -0600,25.404256,312596
2013-12-26 22:16:36 -0600,2013-12-26 22:17:02 -0600,26.405764,312596
2013-12-26 22:17:02 -0600,2013-12-26 22:17:29 -0600,26.524855,312596
2013-12-26 22:17:29 -0600,2013-12-26 22:17:55 -0600,25.759621,312968
2013-12-26 22:17:55 -0600,2013-12-26 22:18:20 -0600,25.413735,313000
2013-12-26 22:18:20 -0600,2013-12-26 22:18:45 -0600,25.293389,313000
2013-12-26 22:18:45 -0600,2013-12-26 22:19:12 -0600,26.484365,313000
2013-12-26 22:19:12 -0600,2013-12-26 22:19:38 -0600,25.912706,313000
2013-12-26 22:19:38 -0600,2013-12-26 22:20:04 -0600,26.270236,304808
2013-12-26 22:20:04 -0600,2013-12-26 22:20:38 -0600,33.757959,305344
2013-12-26 22:20:38 -0600,2013-12-26 22:21:06 -0600,28.095183,304880
2013-12-26 22:21:06 -0600,2013-12-26 22:21:33 -0600,26.597568,305896
2013-12-26 22:21:33 -0600,2013-12-26 22:21:59 -0600,26.827276,306856
